         150678 function calls (140598 primitive calls) in 0.584 CPU seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       62    0.000    0.000    0.000    0.000 cursors.py:40(__init__)
        2    0.000    0.000    0.000    0.000 query.py:1493(set_limits)
       20    0.000    0.000    0.000    0.000 related.py:299(get_query_set)
        4    0.000    0.000    0.000    0.000 functional.py:246(wrapper)
       10    0.000    0.000    0.000    0.000 compiler.py:755(visit_Block)
    22/12    0.000    0.000    0.016    0.001 compiler.py:1029(visit_If)
    56/30    0.000    0.000    0.096    0.003 parser.py:63(parse_statement)
    85/26    0.000    0.000    0.000    0.000 sre_parse.py:146(getwidth)
       12    0.000    0.000    0.016    0.001 query.py:610(_fill_cache)
       12    0.000    0.000    0.004    0.000 manager.py:101(filter)
       62    0.000    0.000    0.000    0.000 {method 'info' of '_mysql.connection' objects}
       62    0.000    0.000    0.000    0.000 {method 'insert_id' of '_mysql.connection' objects}
      124    0.000    0.000    0.000    0.000 cursors.py:329(fetchmany)
        2    0.000    0.000    0.000    0.000 forms.py:100(__getitem__)
        1    0.000    0.000    0.000    0.000 macros.html:1()
   112/92    0.000    0.000    0.040    0.000 parser.py:328(parse_and)
      134    0.000    0.000    0.000    0.000 nodes.py:409(as_const)
        1    0.000    0.000    0.000    0.000 util.py:52(__init__)
        2    0.000    0.000    0.000    0.000 query.py:556(order_by)
       73    0.000    0.000    0.000    0.000 query.py:886(get_initial_alias)
     25/8    0.000    0.000    0.008    0.001 sre_parse.py:307(_parse_sub)
    92/91    0.000    0.000    0.040    0.000 parser.py:492(parse_tuple)
        4    0.000    0.000    0.000    0.000 {locals}
     1086    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x7fbbefdda200}
        8    0.000    0.000    0.004    0.001 compiler.py:285(visit_For)
       21    0.000    0.000    0.000    0.000 memcache.py:905(recv)
      139    0.000    0.000    0.000    0.000 encoding.py:37(force_unicode)
        1    0.000    0.000    0.000    0.000 response.py:79(get_section)
       62    0.000    0.000    0.000    0.000 cursors.py:57(__del__)
       61    0.000    0.000    0.000    0.000 {range}
        6    0.000    0.000    0.408    0.068 environment.py:396(compile)
        6    0.000    0.000    0.000    0.000 {method 'getvalue' of 'cStringIO.StringO' objects}
   133/88    0.000    0.000    0.012    0.000 optimizer.py:54(fold)
        6    0.000    0.000    0.000    0.000 compiler.py:311(__init__)
        9    0.000    0.000    0.016    0.002 lexer.py:276()
      135    0.000    0.000    0.000    0.000 compiler.py:384(indent)
       25    0.000    0.000    0.000    0.000 compiler.py:640()
        6    0.000    0.000    0.000    0.000 environment.py:376(preprocess)
       72    0.000    0.000    0.032    0.000 query.py:484(filter)
       38    0.000    0.000    0.000    0.000 compiler.py:251(__init__)
       72    0.000    0.000    0.000    0.000 tree.py:71(__nonzero__)
