   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 :1(settimeout)
        6    0.000    0.000    0.000    0.000 utils.py:584(__getitem__)
       12    0.000    0.000    0.000    0.000 {method 'store_result' of '_mysql.connection' objects}
        2    0.000    0.000    0.000    0.000 widgets.py:143(__deepcopy__)
      157    0.000    0.000    0.000    0.000 {method 'decode' of 'str' objects}
        2    0.000    0.000    0.000    0.000 fields.py:130(__deepcopy__)
        2    0.000    0.000    0.004    0.002 query.py:196(__getitem__)
       11    0.000    0.000    0.004    0.000 query.py:1075(add_filter)
        2    0.000    0.000    0.000    0.000 query.py:1560(add_ordering)
       12    0.000    0.000    0.000    0.000 base.py:242(_cursor)
       85    0.000    0.000    0.956    0.011 base.html:5(root)
        1    0.000    0.000    0.000    0.000 {_warnings.warn}
        1    0.000    0.000    0.864    0.864 macros.html:203(macro)
        1    0.000    0.000    0.000    0.000 fields.py:111(clean)
       12    0.000    0.000    0.012    0.001 query.py:251(as_sql)
       12    0.000    0.000    0.000    0.000 query.py:406(pre_sql_setup)
       12    0.000    0.000    0.008    0.001 cursors.py:316(_post_get_result)
        6    0.000    0.000    0.000    0.000 utils.py:544(get)
      206    0.000    0.000    0.000    0.000 {cStringIO.StringIO}
       11    0.000    0.000    0.000    0.000 __init__.py:137(field_cast_sql)
       38    0.000    0.000    0.000    0.000 format.py:13(smart_round)
       12    0.000    0.000    0.000    0.000 {method 'character_set_name' of '_mysql.connection' objects}
        2    0.000    0.000    0.000    0.000 copy.py:232(_deepcopy_tuple)
       12    0.000    0.000    0.000    0.000 options.py:201(get_fields_with_model)
      246    0.000    0.000    0.008    0.000 memcache.py:899(expect)
       13    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        9    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 base.html:68(block_title)
        2    0.000    0.000    0.000    0.000 base.html:47(block_meta_description)
        2    0.000    0.000    0.000    0.000 forms.py:108(_get_errors)
